ID,Type,Name,Published,Visibility in catalog,Description,Tax status,Tax class,In stock?,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
2567,variable,СКРИН 5%,1,visible,Рулонные жалюзи СКРИН 5%,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/437f1dfe7d958c1909d6c8995b2d6770.jpg,,цвет,"белый, белый, св.серый, св.серый, серый, серый, серый, т.серый, черный, бежевый, бежевый, св.бежевый, т.бежевый",1,0,белый,Ширина рулона (м),2.5,1,0,Страна,КИТАЙ,1,0,price,2284.15,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2568,variation,СКРИН 5% - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/437f1dfe7d958c1909d6c8995b2d6770.jpg,id:2567,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2570,variation,СКРИН 5% - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/8cd1a82e1d7bcdb5c6d74bed7f932638.jpg,id:2567,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2572,variation,СКРИН 5% - св.серый,1,visible,1608,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ed779c9f80150c1b02eba4ef41ac2367.jpg,id:2567,цвет,св.серый,,0,,,,,,,,,,,,,,,,,,,,,
2574,variation,СКРИН 5% - св.серый,1,visible,1608,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/0be50d28cda5fbfbfc26ee3edb217314.jpg,id:2567,цвет,св.серый,,0,,,,,,,,,,,,,,,,,,,,,
2576,variation,СКРИН 5% - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/a29b468c211cbf4c1996a09210cfc427.jpg,id:2567,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2578,variation,СКРИН 5% - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/5904d022d036edd90c388ab5a8e2a44c.jpg,id:2567,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2580,variation,СКРИН 5% - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/4fc87bf0298881ae6ac4545a059b5b6a.jpg,id:2567,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2582,variation,СКРИН 5% - т.серый,1,visible,1881,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/fb3673a400a79012459ee95ee821a5df.jpg,id:2567,цвет,т.серый,,0,,,,,,,,,,,,,,,,,,,,,
2584,variation,СКРИН 5% - черный,1,visible,1908,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/812b0f9543640f102a1fab6c86459986.jpg,id:2567,цвет,черный,,0,,,,,,,,,,,,,,,,,,,,,
2586,variation,СКРИН 5% - бежевый,1,visible,2259,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/068f4dc937ba3ce6902acedc0d2e4465.jpg,id:2567,цвет,бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2588,variation,СКРИН 5% - бежевый,1,visible,2259,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/da944301cf680d3773f42f8e2c38880a.jpg,id:2567,цвет,бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2590,variation,СКРИН 5% - св.бежевый,1,visible,2261,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/8b524561c175b5c88f0b15827c0f4c89.jpg,id:2567,цвет,св.бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2592,variation,СКРИН 5% - т.бежевый,1,visible,2406,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/87dee916d16296217f8aa7cc87006d64.jpg,id:2567,цвет,т.бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2593,variable,СОФИЯ,1,visible,Рулонные жалюзи СОФИЯ,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/43c73517d01d7091c779e2276ba582d0.jpg,,цвет,"белый, серый, магнолия, бежевый",1,0,белый,Ширина рулона (м),2.0,1,0,Страна,КИТАЙ,1,0,price,885.29,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2594,variation,СОФИЯ - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/43c73517d01d7091c779e2276ba582d0.jpg,id:2593,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2596,variation,СОФИЯ - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/cfac417412b8e40c724d1e0217cc29f1.jpg,id:2593,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2598,variation,СОФИЯ - магнолия,1,visible,2259,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/4b16e72cb91159972174c9a9fefc7589.jpg,id:2593,цвет,магнолия,,0,,,,,,,,,,,,,,,,,,,,,
2600,variation,СОФИЯ - бежевый,1,visible,2406,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/58ab183242c51cab3e5bbd2f9d165464.jpg,id:2593,цвет,бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2601,variable,ТАЛЬНИК,1,visible,Рулонные жалюзи ТАЛЬНИК,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/b4c49f504140d73b989ed93a0ce42de8.png,,цвет,"темно-серый, светло-бежевый",1,0,темно-серый,Ширина рулона (м),2.5,1,0,Страна,КИТАЙ,1,0,price,1673.99,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2602,variation,ТАЛЬНИК - темно-серый,1,visible,1881,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/b4c49f504140d73b989ed93a0ce42de8.png,id:2601,цвет,темно-серый,,0,,,,,,,,,,,,,,,,,,,,,
2604,variation,ТАЛЬНИК - светло-бежевый,1,visible,2261,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/46746f8594e2646e9d795ab6f6a4de1e.jpg,id:2601,цвет,светло-бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2605,simple,ТОЛЕДО,1,visible,Рулонные жалюзи ТОЛЕДО,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/cb3c42dcfae55ce4f4874a21f29a32f3.jpg,,цвет,белый,1,0,белый,Ширина рулона (м),2.0,1,0,Страна,ГЕРМАНИЯ,1,0,price,2810.58,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2607,variable,ТРОПИК,1,visible,Рулонные жалюзи ТРОПИК,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/cca1dfbd4ae1534dfeb658560982a74c.jpg,,цвет,"белый, серый",1,0,белый,Ширина рулона (м),2.4,1,0,Страна,ГЕРМАНИЯ,1,0,price,2720.44,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2608,variation,ТРОПИК - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/cca1dfbd4ae1534dfeb658560982a74c.jpg,id:2607,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2610,variation,ТРОПИК - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/a16d8baa022c3f75c532b2ed2ba828df.jpg,id:2607,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2611,simple,ФЛОРА,1,visible,Рулонные жалюзи ФЛОРА,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/f01020ee13424f6c9f1eb45bf774296d.jpg,,цвет,белый,1,0,белый,Ширина рулона (м),2.0,1,0,Страна,ФИНЛЯНДИЯ,1,0,price,1456.70,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2613,variable,ХАРИЗМА,1,visible,Рулонные жалюзи ХАРИЗМА,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/3b44a9d9257be5498c34951f2bf2448b.png,,цвет,"белый, серебро",1,0,белый,Ширина рулона (м),2.1,1,0,Страна,ГЕРМАНИЯ,1,0,price,1453.03,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2614,variation,ХАРИЗМА - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/3b44a9d9257be5498c34951f2bf2448b.png,id:2613,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2616,variation,ХАРИЗМА - серебро,1,visible,7013,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/2298e8cccb33e178504571bb5ddf505c.jpg,id:2613,цвет,серебро,,0,,,,,,,,,,,,,,,,,,,,,
2617,variable,ЧЕЛСИ,1,visible,Рулонные жалюзи ЧЕЛСИ,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/4cfd9aee8b46034f2cc43f9aedcb115d.jpg,,цвет,"серый, бежевый , св. розовый",1,0,серый,Ширина рулона (м),2.3,1,0,Страна,ГЕРМАНИЯ,1,0,price,2717.65,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2618,variation,ЧЕЛСИ - серый,1,visible,1907,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/4cfd9aee8b46034f2cc43f9aedcb115d.jpg,id:2617,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2620,variation,ЧЕЛСИ - бежевый ,1,visible,2407,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/f2ca133d126588df99c0705707241f6a.jpg,id:2617,цвет,бежевый ,,0,,,,,,,,,,,,,,,,,,,,,
2622,variation,ЧЕЛСИ - св. розовый,1,visible,4082,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/024d4c81334b90cd294bdf1aeb502cf6.jpg,id:2617,цвет,св. розовый,,0,,,,,,,,,,,,,,,,,,,,,
2623,simple,ШАНТУНГ,1,visible,Рулонные жалюзи ШАНТУНГ,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/9e08bcc471eea2a989f1cc96d5d11d09.png,,цвет,белый,1,0,белый,Ширина рулона (м),1.8,1,0,Страна,ТАЙВАНЬ,1,0,price,1054.90,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2625,simple,ШАНХАЙ,1,visible,Рулонные жалюзи ШАНХАЙ,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/0dc460ee9f3a9ab804fc4752f69f9b7a.jpg,,цвет,св.коричневый,1,0,св.коричневый,Ширина рулона (м),1.8,1,0,Страна,ТАЙВАНЬ,1,0,price,2045.54,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2627,variable,ШАТО,1,visible,Рулонные жалюзи ШАТО,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ee890dbca6c937e927d7d7d702fa73b2.jpg,,цвет,"белый, серый",1,0,белый,Ширина рулона (м),2.3,1,0,Страна,ГЕРМАНИЯ,1,0,price,3444.48,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2628,variation,ШАТО - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ee890dbca6c937e927d7d7d702fa73b2.jpg,id:2627,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
