СКРИН 5% ALU ,AMIGO,4,КИТАЙ,"белый, св. бежевый, св. серый","2,50",30,"$38,3088","2 873,16"
СОУЛ ,AMIGO,1,КИТАЙ,"белый, св. бежевый","2,40",50,"$13,2822","996,16"
СОФИЯ,AMIGO,1,КИТАЙ,"белый,серый,магнолия, бежевый","2,00",30,"$11,8038","885,29"
СФЕРА B/O,AMIGO,2,КИТАЙ,"белый, бежевый, св. серый, ваниль","2,20",35,"$18,9579","1 421,84"
ТАЛЬНИК,AMIGO,2,КИТАЙ,"т. серый, св. бежевый","2,50",50,"$22,3198","1 673,99"
ТОЛЕДО,AMIGO,3,ГЕРМАНИЯ,белый,"2,00",42,"$37,4744","2 810,58"
ТРОПИК,AMIGO,3,ГЕРМАНИЯ,"белый, серый","2,40",42,"$36,2725","2 720,44"
ФЛОРА,AMIGO,2,ФИНЛЯНДИЯ,белый,"2,00",40,"$19,4227","1 456,70"
ФЛОРА BLACK-OUT,AMIGO,3,ФИНЛЯНДИЯ,белый,"2,00",30,"$26,8615","2 014,61"
ХАРИЗМА,AMIGO,3,ГЕРМАНИЯ,серебро  ,"2,10",42,"$36,7959","2 759,69"
ШАНТУНГ,AMIGO,2,ТАЙВАНЬ,белый,"1,80",30,"$14,0653","1 054,90"
ШАНХАЙ,AMIGO,3,ТАЙВАНЬ,св.коричневый,"1,80",30,"$27,2738","2 045,54"
ШЁЛК,AMIGO,2,ТАЙВАНЬ,"белый, жемчужно-серый, св-лимонный, св.бежевый, т. бежевый, терракота, коричневый, желтый, персик, бордо, сиреневый, морозно-голубой (светлый), св.зеленый, бирюзовый","2,00",30,"$15,0065","1 125,49"
ШЁЛК II ,AMIGO,1,КИТАЙ,"белый, св. бежевый, св. серый( new)","2,00",30,"$8,8580","664,35"
ШЁЛК В/О ,AMIGO,3,ТАЙВАНЬ,"белый, персиковый, св.бежевый","2,00",30,"$27,1136","2 033,52"
ШИКАТАН ЧАЙНАЯ ЦЕРЕМОНИЯ,AMIGO,3,ТАЙВАНЬ,"бежевый, св.коричневый, кремовый","1,80",30,"$20,9105","1 568,29"
ШИКАТАН ПУТЬ САМУРАЯ,AMIGO,3,ТАЙВАНЬ,"серый, бежевый, св.зеленый","1,80",30,"$20,9105","1 568,29"
ШИКАТАН ЧИО-ЧИО-САН,AMIGO,3,ТАЙВАНЬ,коричневый,"1,80",30,"$20,9105","1 568,29"
ЭЛЕГИЯ,AMIGO,3,ТУРЦИЯ, магнолия,"2,40",30,"$35,6986","2 677,39"
ЭЛЬБА,AMIGO,1,КИТАЙ,"белый, магнолия, св. бежевый, карамель, коричневый, персиковый, оливковый","2,20",50,"$10,1675","762,56"
ЮНИОР,AMIGO,3,ГЕРМАНИЯ,белый,"1,95",42,"$23,7345","1 780,08"
ЮТА,AMIGO,1,КИТАЙ,"бежевый, св. бежевы, св.серый, св.коричневый","3,00",30,"$16,7756","1 258,17"
ЮТА BLACK-OUT,AMIGO,2,КИТАЙ,"св.беж, бежевый, св.серый, коричневый, магнолия","2,90",30,"$24,6479","1 848,59"
ЯМАЙКА,AMIGO,3,ГЕРМАНИЯ,"св. серый, серый, графит, св. бежевый, бежевый, кремовый, каштановый, голубой","2,30",30,"$36,3309","2 724,82"
,,,,,,,,
АЛИСА BLACK-OUT,AMILUX,5,ГОЛЛАНДИЯ,белый,"2,50",25,"$65,2725","4 895,44"
АПОЛЛО BLACK-OUT,AMILUX,4,ГЕРМАНИЯ,"белый, св.серый, св.бежевый","3,10",42,"$73,4797","5 510,98"
БЛАНШ,AMILUX,4,ГЕРМАНИЯ,"белый, серый","2,30",42,"$49,0067","3 675,51"
ВЕСНА,AMILUX,2,ГЕРМАНИЯ,лиловый,"2,00",42,"$25,4352","1 907,64"
ВУАЛЬ,AMILUX,2,ГЕРМАНИЯ,"белый, ваниль ","2,40",42,"$25,5590","1 916,92"
ГАВАНА,AMILUX,4,ГЕРМАНИЯ,"св.бежевый, бежевый, т.коричневый, терракота","2,40",42,"$52,1422","3 910,66"
ГАВАНА BLACK-OUT,AMILUX,5,ГЕРМАНИЯ,т.бежевый,"2,40",42,"$67,6401","5 073,01"
ГИЗА,AMILUX,4,ГЕРМАНИЯ,"св.бежевый, бежевый  ","2,80",30,"$64,0813","4 806,10"
ГРАНАДА BLACK-OUT,AMILUX,4,ГЕРМАНИЯ,св.бежевый,"2,00",42,"$44,6362","3 347,72"
ГРЕЙС,AMILUX,3,ГЕРМАНИЯ,"белый, серый","2,40",42,"$38,8920","2 916,90"
ГРЕЙС BLACK-OUT,AMILUX,4,ГЕРМАНИЯ,серый,"2,40",32,"$54,7091","4 103,18"
ДЕОН,AMILUX,3,ГЕРМАНИЯ,"белый, бежевый, т. Синий","2,40",42,"$37,8492","2 838,69"
ЖЕМЧУГ,AMILUX,2,ГЕРМАНИЯ,"белый, серый, бежевый, т.бежевый, золотистый, персиковый, лиловый, оливковый","2,00",42,"$21,3558","1 601,69"
ЖЕМЧУГ BLACK-OUT,AMILUX,3,ГЕРМАНИЯ,"белый, серый, бежевый ","2,40",32,"$41,8249","3 136,87"
ИМПАЛА,AMILUX,3,ГЕРМАНИЯ,"серый, красный, зеленый","2,40",42,"$39,3945","2 954,59"
ИМПАЛА BLACK-OUT,AMILUX,4,ГЕРМАНИЯ,"св.бежевый, бежевый","2,40",32,"$55,3774","4 153,31"
КАПУР,AMILUX,3,ГЕРМАНИЯ,"белый, св.бежевый, коричневый","2,00",42,"$31,2386","2 342,89"
КОНГО BLACK-OUT,AMILUX,4,ГЕРМАНИЯ,"серый, св.бежевый","2,40",32,"$61,0782","4 580,86"
КОРОНА,AMILUX,3,ГЕРМАНИЯ,бежевый,"2,00",25,"$33,0403","2 478,02"
ЛЕТНИЙ СОН,AMILUX,4,ГЕРМАНИЯ,"белый, черный","2,20",30,"$44,5886","3 344,15"
ЛИМА,AMILUX,2,ГЕРМАНИЯ,"белый, бежевый, т.бежевый, зеленый, т.коричневый, оранжевый, лиловый","2,40",40,"$24,6189","1 846,42"
ЛИМА BLACK-OUT,AMILUX,3,ГЕРМАНИЯ,св.бежевый,"2,40",42,"$42,5247","3 189,35"
МЕРЕЖКА,AMILUX,2,ГЕРМАНИЯ,белый,"2,35",42,"$32,5163","2 438,72"
НЬЮ-ЙОРК,AMILUX,2,ГЕРМАНИЯ,серый ,"1,95",40,"$20,0084","1 500,63"
ПАЛИТРА,AMILUX,4,ГЕРМАНИЯ,лиловый,"2,00",42,"$41,2757","3 095,67"
ПАЛЬМА,AMILUX,3,ГЕРМАНИЯ,"белый, коричневый","2,35",40,"$33,7749","2 533,12"
ПАНАМА,AMILUX,3,ГЕРМАНИЯ,"белый, бежевый","2,00",42,"$35,4472","2 658,54"
ПАРАДИЗ,AMILUX,3,ГЕРМАНИЯ,бежевый,"2,00",42,"$38,0172","2 851,29"
ПАРИЖ,AMILUX,2,ГЕРМАНИЯ,св.бежевый,"2,00",42,"$25,9290","1 944,68"
ПЕРГОЛА,AMILUX,3,ТУРЦИЯ,"белый, бежевый","3,00",50,"$40,6793","3 050,94"
ПОЛЬКА BLACK-OUT,AMILUX,4,ГЕРМАНИЯ,"красный, синий","1,95",32,"$41,5287","3 114,65"
ПРИНЦ  BLACK-OUT,AMILUX,5,ГОЛЛАНДИЯ,белый,"2,40",25,"$62,8324","4 712,43"
РИВЬЕРА,AMILUX,3,ГЕРМАНИЯ,"магнолия, аква","2,30",32,"$41,2182","3 091,37"
РЯБИНА,AMILUX,3,ГЕРМАНИЯ,белый,"2,00",42,"$28,5701","2 142,76"
РЯБИНА BLACK-OUT,AMILUX,4,ГЕРМАНИЯ,белый,"2,00",32,"$45,7284","3 429,63"
СИЛКСКРИН,AMILUX,4,ГЕРМАНИЯ,"белый, серый","2,40",42,"$55,1758","4 138,18"
ФЛОРЕНЦИЯ,AMILUX,3,ГЕРМАНИЯ,"св.серый, т.серый, св.бежевый","2,40",42,"$39,0603","2 929,53"
ХАРИЗМА,AMILUX,2,ГЕРМАНИЯ,белый,"2,10",42,"$19,3738","1 453,03"
ЧЕЛСИ,AMILUX,3,ГЕРМАНИЯ,"белый, серый, песочный, бежевый, св.розовый","2,30",30,"$36,2353","2 717,65"
ШАТО,AMILUX,4,ГЕРМАНИЯ,"белый, серый","2,30",30,"$45,9264","3 444,48"
ЭЛВИС,AMILUX,2,ГЕРМАНИЯ,"белый, св.серый, св.бежевый","1,95",42,"$21,8268","1 637,01"
ЯСМИН,AMILUX,4,ГЕРМАНИЯ,"св. серый, магнолия","2,30",42,"$46,1170","3 458,78"
